_id,rescent_price,release_price,OG,Retro,SP,QS,SB,SE,model_no,last_price,max_price,min_price,benefit
Jordan 1 Retro Black Gum,167000,182500,0,1,0,0,0,0,555088-020,200000.0,210000.0,197000.0,109.58904109589041
Jordan 9 Retro Slim Jenkins,220000,208600,0,1,0,0,0,0,302370-045,220000.0,220000.0,220000.0,105.46500479386384
Jordan 9 Retro Calvin Bailey,220000,208600,0,1,0,0,0,0,302370-445,220000.0,220000.0,220000.0,105.46500479386384
Jordan Collezione 15/8 Countdown Pack,399000,404100,0,0,0,0,0,0,338151-991,399000.0,399000.0,399000.0,98.73793615441723
Jordan Collezione 21/2 Countdown Pack,303000,404100,0,0,0,0,0,0,323943-993,303000.0,303000.0,303000.0,74.98144023756495
(GS) Jordan 1 Retro High OG University Gold Light Bordeaux,105000,149000,1,1,0,0,0,0,575441-706,103000.0,199000.0,81000.0,69.12751677852349
Jordan 1 Mid Gym Red Black White,228000,139000,0,0,0,0,0,0,554724-122,219000.0,320000.0,146000.0,157.55395683453236
Jordan 5 Retro Fire Red Silver Tongue 2020,250000,239000,0,1,0,0,0,0,DA1911-102,211000.0,330000.0,203000.0,88.28451882845188
Jordan 13 Retro Flint 2020,269000,229000,0,1,0,0,0,0,414571-404,222000.0,329000.0,190000.0,96.94323144104804
(W) Jordan 1 Low OG Starfish,288000,159000,1,0,0,0,0,0,CZ0775-801,307000.0,495000.0,210000.0,193.0817610062893
Jordan 1 Retro High OG Bloodline,400000,199000,1,1,0,0,0,0,555088-062,340000.0,645000.0,230000.0,170.85427135678393
Jordan 13 Retro Low Hornets,359000,208600,0,1,0,0,0,0,310810-107,359000.0,359000.0,225000.0,172.09971236816875
